what,kind,bundleId,bundleVersion,description,time
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1395679954456
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1395679960448
executed,command,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.edit.text.java.toggle.comment",1395679968798
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1395679974005
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1395679981178
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1395679996075
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1395679996261
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1395680001891
executed,command,org.eclipse.debug.ui,3.7.102.v20111129-1423_r372,"org.eclipse.debug.ui.commands.RunLast",1395680004310
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1395680004342
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1395680004762
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1395680011694
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.goto.lineEnd",1395680038080
executed,command,org.eclipse.debug.ui,3.7.102.v20111129-1423_r372,"org.eclipse.debug.ui.commands.RunLast",1395680039200
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1395680039218
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1395680039610
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1395680040964
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1395680047078
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.cut",1395680050010
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1395680061733
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1395680074137
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1395680080449
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1395680084261
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1395680087257
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.goto.lineEnd",1395680099087
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.goto.lineEnd",1395680099724
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1395680115004
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.showInformation",1395680115014
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1395680116099
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1395680119289
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.showInformation",1395680119300
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1395680120048
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1395680124326
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.showInformation",1395680124337
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1395680126282
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.goto.lineEnd",1395680135102
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.select.lineEnd",1395680143882
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.text.contentAssist.proposals",1395680149718
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.goto.lineEnd",1395680169228
executed,command,org.eclipse.debug.ui,3.7.102.v20111129-1423_r372,"org.eclipse.debug.ui.commands.RunLast",1395680173776
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1395680173796
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1395680174867
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1395680176878
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1395680185507
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1395680189335
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1395680509401
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1395680769167
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1395680769914
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1395680831401
