what,kind,bundleId,bundleVersion,description,time
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1395719961770
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1395719962229
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1395719964618
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1395719972246
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1395719975775
executed,command,org.eclipse.debug.ui,3.7.102.v20111129-1423_r372,"org.eclipse.debug.ui.commands.RunLast",1395719997831
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1395719997857
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1395719998226
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1395719998916
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1395720001485
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1395720001925
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1395720002725
executed,command,org.eclipse.debug.ui,3.7.102.v20111129-1423_r372,"org.eclipse.debug.ui.commands.RunLast",1395720003627
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1395720005325
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1395720013756
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1395720014140
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1395720017978
executed,command,org.eclipse.debug.ui,3.7.102.v20111129-1423_r372,"org.eclipse.debug.ui.commands.RunLast",1395720024980
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1395720025006
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1395720025376
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1395720029219
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1395720048753
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1395720056522
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1395720057075
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1395720057260
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1395720057443
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1395720057630
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1395720057840
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1395720058035
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1395720058203
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1395720058407
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1395720058594
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1395720058772
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1395720058946
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1395720059160
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1395720059360
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1395720070342
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1395720489917
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1395720492325
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1395720494819
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1395720495614
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1395722526304
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1395722536355
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1395722536791
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1395722536833
opened,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1395722551300
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1395722552384
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1395722564325
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1395722564842
executed,command,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.edit.text.java.toggle.comment",1395722573126
activated,perspective,org.eclipse.jdt.ui,,"org.eclipse.jdt.ui.JavaPerspective",1395723687626
started,bundle,org.eclipse.osgi,3.7.2.v20120110-1415,"org.eclipse.osgi",1395723687626
started,bundle,org.eclipse.equinox.simpleconfigurator,1.0.200.v20110815-1438,"org.eclipse.equinox.simpleconfigurator",1395723687657
started,bundle,com.ibm.icu,4.4.2.v20110823,"com.ibm.icu",1395723687719
started,bundle,org.eclipse.compare.core,3.5.200.I20110208-0800,"org.eclipse.compare.core",1395723687813
started,bundle,org.eclipse.core.contenttype,3.4.100.v20110423-0524,"org.eclipse.core.contenttype",1395723687860
started,bundle,org.eclipse.core.databinding.observable,1.4.0.I20110222-0800,"org.eclipse.core.databinding.observable",1395723687938
started,bundle,org.eclipse.core.expressions,3.4.300.v20110228,"org.eclipse.core.expressions",1395723687938
started,bundle,org.eclipse.core.filebuffers,3.5.200.v20110928-1504,"org.eclipse.core.filebuffers",1395723687969
started,bundle,org.eclipse.core.filesystem,1.3.100.v20110423-0524,"org.eclipse.core.filesystem",1395723688016
started,bundle,org.eclipse.core.jobs,3.5.101.v20120113-1953,"org.eclipse.core.jobs",1395723688047
started,bundle,org.eclipse.core.net,1.2.100.I20110511-0800,"org.eclipse.core.net",1395723688094
started,bundle,org.eclipse.core.resources,3.7.101.v20120125-1505,"org.eclipse.core.resources",1395723688188
started,bundle,org.eclipse.core.runtime,3.7.0.v20110110,"org.eclipse.core.runtime",1395723688219
started,bundle,org.eclipse.core.runtime.compatibility,3.2.100.v20100505,"org.eclipse.core.runtime.compatibility",1395723688251
started,bundle,org.eclipse.core.runtime.compatibility.auth,3.2.200.v20110110,"org.eclipse.core.runtime.compatibility.auth",1395723688298
started,bundle,org.eclipse.core.variables,3.2.500.v20110928-1503,"org.eclipse.core.variables",1395723688329
started,bundle,org.eclipse.debug.core,3.7.1.v20111129-2031,"org.eclipse.debug.core",1395723688407
