what,kind,bundleId,bundleVersion,description,time
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1395220306777
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1395220308116
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1395220309256
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1395220352463
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1395220356426
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1395220359338
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.showInformation",1395220359351
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1395220361573
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.showInformation",1395220364360
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1395220367440
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.showInformation",1395220367453
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1395220378228
executed,command,org.eclipse.debug.ui,3.7.102.v20111129-1423_r372,"org.eclipse.debug.ui.commands.RunLast",1395220385187
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1395220385222
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1395220385735
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1395220386744
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1395220391486
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1395220398013
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1395220408995
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1395220414538
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.cut",1395220415786
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1395220418767
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.goto.lineEnd",1395220421836
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1395220432832
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1395220433443
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1395220434029
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.select.lineEnd",1395220438403
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1395220440846
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.scroll.lineUp",1395220441058
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1395220442734
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1395220445154
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.showInformation",1395220445165
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1395220446814
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1395220451758
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.showInformation",1395220451768
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1395220459456
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.goto.lineEnd",1395220474852
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.goto.lineEnd",1395220478396
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1395220501374
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1395220501747
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.select.lineEnd",1395220511085
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.select.lineEnd",1395220511617
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1395220517436
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.goto.lineEnd",1395220518851
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1395220519833
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.cut",1395220526674
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.goto.lineEnd",1395220527254
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.goto.lineEnd",1395220529893
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.select.lineEnd",1395220536750
